iter	Logloss
0	0.6617723755
1	0.6336416687
2	0.6088829651
3	0.5875448242
4	0.5680916321
5	0.5505212219
6	0.5356064636
7	0.5217307251
8	0.5102454407
9	0.4986470154
10	0.4894219421
11	0.4808906311
12	0.4730922974
13	0.4659085388
14	0.4599239197
15	0.4541630737
16	0.4489835754
17	0.4443358215
18	0.4406157837
19	0.4372276184
20	0.434164563
21	0.4309072449
22	0.4281756836
23	0.4262352234
24	0.4234942383
25	0.4214515625
26	0.4195777649
27	0.4175731567
28	0.415753479
29	0.4139939636
30	0.4124078247
31	0.4113233429
32	0.410183252
33	0.4092557037
34	0.4083828522
35	0.4074011658
36	0.406744165
37	0.4060746765
38	0.4052900635
39	0.4046090759
40	0.4038558044
41	0.4033459076
42	0.4024712158
43	0.4012312012
44	0.4008257874
45	0.4003855438
46	0.3999618439
47	0.3995681641
48	0.3992799225
49	0.3989949829
