iter	Passed	Remaining
0	177	17571
1	188	9239
2	200	6490
3	213	5123
4	224	4271
5	236	3707
6	249	3313
7	260	2997
8	272	2759
9	284	2562
10	297	2409
11	309	2267
12	321	2151
13	333	2051
14	345	1958
15	357	1874
16	369	1803
17	380	1734
18	391	1669
19	403	1615
20	417	1569
21	429	1521
22	439	1472
23	452	1432
24	463	1391
25	475	1353
26	487	1318
27	500	1285
28	512	1255
29	526	1227
30	538	1197
31	551	1171
32	563	1144
33	576	1118
34	588	1093
35	603	1073
36	615	1047
37	628	1024
38	640	1002
39	653	980
40	665	957
41	678	937
42	692	917
43	705	897
44	717	877
45	731	858
46	744	839
47	755	818
48	767	799
49	780	780
50	795	764
51	808	746
52	819	726
53	831	708
54	844	690
55	855	672
56	867	654
57	879	636
58	892	620
59	904	603
60	916	585
61	929	569
62	941	552
63	953	536
64	966	520
65	978	503
66	991	488
67	1003	472
68	1015	456
69	1027	440
70	1039	424
71	1052	409
72	1065	393
73	1077	378
74	1093	364
75	1106	349
76	1118	334
77	1130	318
78	1143	303
79	1156	289
80	1167	273
81	1180	259
82	1193	244
83	1205	229
84	1218	215
85	1233	200
86	1247	186
87	1261	171
88	1274	157
89	1289	143
90	1303	128
91	1318	114
92	1331	100
93	1345	85
94	1361	71
95	1374	57
96	1388	42
97	1402	28
98	1417	14
99	1430	0
